🇨🇳｜央视频道,#genre#	
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225942/index.m3u8
东方卫视,http://39.134.66.2/PLTV/88888888/224/3221225942/index.m3u8
东方卫视,http://39.134.66.110/PLTV/88888888/224/3221225672/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
东方卫视,http://39.134.66.2/PLTV/88888888/224/3221225672/index.m3u8

东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
东南卫视,http://39.134.66.110/PLTV/88888888/224/3221225950/index.m3u8
东南卫视,http://39.134.66.66/PLTV/88888888/224/3221225950/index.m3u8
东南卫视,http://39.134.66.2/PLTV/88888888/224/3221225950/index.m3u8

甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226522/index.m3u8
甘肃卫视,http://39.134.66.110/PLTV/88888888/224/3221225584/index.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8
甘肃卫视,http://39.134.66.2/PLTV/88888888/224/3221225584/index.m3u8

贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226383/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
贵州卫视,http://39.134.66.110/PLTV/88888888/224/3221225974/index.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225974/index.m3u8
贵州卫视,http://39.134.66.2/PLTV/88888888/224/3221225974/index.m3u8

海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
海南卫视,http://39.134.66.110/PLTV/88888888/224/3221225978/index.m3u8
海南卫视,http://39.134.66.66/PLTV/88888888/224/3221225978/index.m3u8
海南卫视,http://39.134.66.2/PLTV/88888888/224/3221225978/index.m3u8

河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225623/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
河北卫视,http://39.134.66.110/PLTV/88888888/224/3221225961/index.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225961/index.m3u8
河北卫视,http://39.134.66.2/PLTV/88888888/224/3221225961/index.m3u8

河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河南卫视,http://39.134.66.110/PLTV/88888888/224/3221225988/index.m3u8
河南卫视,http://39.134.66.66/PLTV/88888888/224/3221225988/index.m3u8
河南卫视,http://39.134.66.2/PLTV/88888888/224/3221225988/index.m3u8

江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
江西卫视,http://39.134.66.110/PLTV/88888888/224/3221225935/index.m3u8
江西卫视,http://39.134.66.66/PLTV/88888888/224/3221225935/index.m3u8
江西卫视,http://39.134.66.2/PLTV/88888888/224/3221225935/index.m3u8

辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
辽宁卫视,http://39.134.66.110/PLTV/88888888/224/3221225499/index.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8
辽宁卫视,http://39.134.66.2/PLTV/88888888/224/3221225499/index.m3u8

青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
青海卫视,http://39.134.66.110/PLTV/88888888/224/3221225948/index.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225948/index.m3u8
青海卫视,http://39.134.66.2/PLTV/88888888/224/3221225948/index.m3u8
青海卫视,http://39.134.66.110/PLTV/88888888/224/3221225573/index.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
青海卫视,http://39.134.66.2/PLTV/88888888/224/3221225573/index.m3u8

内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视,http://39.134.66.110/PLTV/88888888/224/3221225577/index.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
内蒙古卫视,http://39.134.66.2/PLTV/88888888/224/3221225577/index.m3u8

山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
山东卫视,http://39.134.66.110/PLTV/88888888/224/3221225952/index.m3u8
山东卫视,http://39.134.66.66/PLTV/88888888/224/3221225952/index.m3u8
山东卫视,http://39.134.66.2/PLTV/88888888/224/3221225952/index.m3u8

山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
山东教育卫视,http://39.134.66.110/PLTV/88888888/224/3221225558/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8
山东教育卫视,http://39.134.66.2/PLTV/88888888/224/3221225558/index.m3u8

山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
山西卫视,http://39.134.66.110/PLTV/88888888/224/3221225496/index.m3u8
山西卫视,http://39.134.66.66/PLTV/88888888/224/3221225496/index.m3u8
山西卫视,http://39.134.66.2/PLTV/88888888/224/3221225496/index.m3u8

陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
陕西卫视,http://39.134.66.110/PLTV/88888888/224/3221225989/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225989/index.m3u8
陕西卫视,http://39.134.66.2/PLTV/88888888/224/3221225989/index.m3u8
陕西卫视,http://39.134.66.110/PLTV/88888888/224/3221225567/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
陕西卫视,http://39.134.66.2/PLTV/88888888/224/3221225567/index.m3u8


四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
四川卫视,http://39.134.66.110/PLTV/88888888/224/3221225970/index.m3u8
四川卫视,http://39.134.66.66/PLTV/88888888/224/3221225970/index.m3u8
四川卫视,http://39.134.66.2/PLTV/88888888/224/3221225970/index.m3u8

云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
云南卫视,http://39.134.66.110/PLTV/88888888/224/3221225957/index.m3u8
云南卫视,http://39.134.66.66/PLTV/88888888/224/3221225957/index.m3u8
云南卫视,http://39.134.66.2/PLTV/88888888/224/3221225957/index.m3u8

浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
浙江卫视,http://39.134.66.110/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://39.134.66.2/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://39.134.66.110/PLTV/88888888/224/3221225959/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225959/index.m3u8
浙江卫视,http://39.134.66.2/PLTV/88888888/224/3221225959/index.m3u8

重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
重庆卫视,http://39.134.66.110/PLTV/88888888/224/3221225963/index.m3u8
重庆卫视,http://39.134.66.66/PLTV/88888888/224/3221225963/index.m3u8
重庆卫视,http://39.134.66.2/PLTV/88888888/224/3221225963/index.m3u8

西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
西藏卫视,http://39.134.66.110/PLTV/88888888/224/3221225570/index.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
西藏卫视,http://39.134.66.2/PLTV/88888888/224/3221225570/index.m3u8
西藏卫视,http://39.134.66.110/PLTV/88888888/224/3221225951/index.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225951/index.m3u8
西藏卫视,http://39.134.66.2/PLTV/88888888/224/3221225951/index.m3u8

新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
新疆卫视,http://39.134.66.110/PLTV/88888888/224/3221225999/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225999/index.m3u8
新疆卫视,http://39.134.66.2/PLTV/88888888/224/3221225999/index.m3u8
新疆卫视,http://39.134.66.110/PLTV/88888888/224/3221225582/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
新疆卫视,http://39.134.66.2/PLTV/88888888/224/3221225582/index.m3u8


天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
天津卫视,http://39.134.66.110/PLTV/88888888/224/3221225972/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225972/index.m3u8
天津卫视,http://39.134.66.2/PLTV/88888888/224/3221225972/index.m3u8
天津卫视,http://39.134.66.110/PLTV/88888888/224/3221225665/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
天津卫视,http://39.134.66.2/PLTV/88888888/224/3221225665/index.m3u8

